YEAR,MONTH,AIRLINE,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,AS,ANC,SEA,5,2354,-11,408,-22,0,0,Null,Null,Null,Null,Null
2015,1,AA,LAX,PBI,10,2,-8,741,-9,0,0,Null,Null,Null,Null,Null
2015,1,US,SFO,CLT,20,18,-2,811,5,0,0,Null,Null,Null,Null,Null
2015,1,AA,LAX,MIA,20,15,-5,756,-9,0,0,Null,Null,Null,Null,Null
2015,1,AS,SEA,ANC,25,24,-1,259,-21,0,0,Null,Null,Null,Null,Null
2015,1,DL,SFO,MSP,25,20,-5,610,8,0,0,Null,Null,Null,Null,Null
2015,1,NK,LAS,MSP,25,19,-6,509,-17,0,0,Null,Null,Null,Null,Null
2015,1,US,LAX,CLT,30,44,14,753,-10,0,0,Null,Null,Null,Null,Null
2015,1,AA,SFO,DFW,30,19,-11,532,-13,0,0,Null,Null,Null,Null,Null
2015,1,DL,LAS,ATL,30,33,3,656,-15,0,0,Null,Null,Null,Null,Null
2015,1,DL,DEN,ATL,30,24,-6,453,-30,0,0,Null,Null,Null,Null,Null
2015,1,AA,LAS,MIA,35,27,-8,753,-10,0,0,Null,Null,Null,Null,Null
2015,1,DL,LAX,MSP,35,35,0,605,-4,0,0,Null,Null,Null,Null,Null
2015,1,DL,SLC,ATL,40,34,-6,553,-22,0,0,Null,Null,Null,Null,Null
2015,1,DL,SEA,MSP,40,39,-1,557,8,0,0,Null,Null,Null,Null,Null
2015,1,AS,ANC,SEA,45,41,-4,455,-14,0,0,Null,Null,Null,Null,Null
2015,1,DL,ANC,SEA,45,31,-14,451,-24,0,0,Null,Null,Null,Null,Null
